Name,EcoScore,Countries,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17
Grand vin de Bordeaux,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Moscato,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
75CL Vin Sans Alcool Rouge,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Sekt Rose trocken,3,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Produits laitiers,Produits fermentés,Produits laitiers fermentés,Vins,Fromages,Fromages de vache,Vins effervescents,Sekt,,,,,,,
Cuisse de Bergère,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
"Porto,",39,"['en:belgium', 'en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins portugais,Porto,,,,,,,,,
Pineau des Charentes,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français,Mistelle,Pineau des Charentes,,,,,,,,,,
Saint emilin grand cru,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Champagne CHARLES VINCENT BRUT,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,,,,,,,,,,
Grande Récolte - Côtes de Provence,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Côtes de Provence,Vins de Provence,,,,,,,,,,
Cabern.anjou Rose E.club,42,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Cabernet d'Anjou 2015,45,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou,,,,,,,,,,,,
Nos racines -vin bio- côtes de Bordeaux,46,"['en:belgium', 'en:france']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Vins blancs,Bordeaux,Côtes-de-bordeaux,Côtes-de-blaye,,,,,,,,
