Name,EcoScore,Category_1,Category_2,Category_3,Category_4,Category_5
Clairette de Die cuvée impériale,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Réserve de Padulone,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Côtes Du Rhône,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
75CL Coteaux Du Layon Blanc,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Coteaux du Layon
Bordeaux Réserve 2014,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Côtes du Rhône bio A.O.C. - Bag-in-Box®,52.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Naturae,57.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
PORTO CRUZ,,Boissons,Boissons alcoolisées,Vins,,
"SANGRIA DOM JOSUE Boisson aromatisée à base de vin, produite en France. Au vin d'Espagne.",19.0,Boissons,Boissons alcoolisées,Vins,Boissons alcoolisées pré-mélangées,Boissons alcoolisées à base de vin
Erstein morceau pure canne boite 1kg - gamme speciaux,46.0,Boissons,Boissons alcoolisées,Vins,Vins français,Touraine Noble Joué
Di'Vin Mix Rosé Pamplemousse,30.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,Vins aromatisés
Blancs de blancs demi-sec,36.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins effervescents
Schoenenbourg Gewurztraminer 2009 AOC Bio,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Alsace Grand Cru Sonnenglanz Gewurztraminer,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
BEAUJOLAIS NOUVEAU,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Beaujolais
Aloxe-Corton 2010,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Côtes de Provence A.O.C. 2017,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Provence
Cte Rhone Rge E.club,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Blanc Pêche,36.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Aloxe Corton 2011,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Rosé Pamplemousse,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Bergerac,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
CrozesHermitage,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Beaujolais Nouveau,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Beaujolais
Vin rosé AOC Côtes de Provence Cellier des esperides,46.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Allé di partout,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Merlot,46.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Rosé pamplemousse,,Boissons,Boissons alcoolisées,Vins,,
Rosé fronton,39.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,Fronton
Gérard Bertrand &quot;6ème Sens&quot;,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Vin d'Espagne Rouge CHASTAGNAC,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Vin rouge IGP Gamay Comte du Tolosan,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Comté Tolosan
Cabernet d'Anjou,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou
Pommard &quot;Les Narjollets&quot; 2010,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
2017,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Banyuls - Rimage 2013,48.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Aloxe-Corton,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Vin rosé IGP Ile de Beaute,39.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Bordeaux Grande Cuvée 2014,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Porto Fine Twany,35.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Canard Duchêne,45.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
"Soupçon de fruit, Cabernet d'Anjou 2019",32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou
Médoc AOC rouge L'Allée du Roy,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
5L Bib Vin D'espagne Rose,,Boissons,Boissons alcoolisées,Vins,,
Saumur Champigny,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Saumur-Champigny
Vin rouge bio,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Corbières
alliance brut,,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins mousseux
Vin blanc du Languedoc,,Boissons,Boissons alcoolisées,Vins,,
Rosé d'Anjou,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Les Embruns Sable de Camargue IGP La Croix des Saintes,54.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Porto Tawny Cortesão 19°,35.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Cabernet d'Anjou,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou
Vin d'Alsace Pinot Blanc 2017,23.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Vin blanc AOP Muscadet Sèvre et Maine sur lie La Chatelière,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Rosé d'Anjou A.O.C. 2017,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Rosé d'Anjou
